,name,Show URL,Show Type,Language,Genres,Status,Runtime,Premiere Date,Official Site,Time,Day,Network,Country,Country Code,Timezone,Summary,Full Img,Med img,Created By,Ratings,Ratings Count,Release_year,Duration,Cast
0,Under the Dome,https://www.tvmaze.com/shows/1/under-the-dome,Scripted,English,"['Drama', 'Science-Fiction', 'Thriller']",Ended,60,6/24/2013,http://www.cbs.com/shows/under-the-dome/,22:00,['Thursday'],CBS,United States,US,America/New_York,"Under the Dome is the story of a small town that is suddenly and inexplicably sealed off from the rest of the world by an enormous transparent dome. The town's inhabitants must deal with surviving the post-apocalyptic conditions while searching for answers about the dome, where it came from and if and when it will go away.",http://static.tvmaze.com/uploads/images/original_untouched/81/202627.jpg,//static.tvmaze.com/uploads/images/medium_portrait/81/202627.jpg,Stephen King,6.6,218,NA,NA,NA
1,Person of Interest,https://www.tvmaze.com/shows/2/person-of-interest,Scripted,English,"['Action', 'Crime', 'Science-Fiction']",Ended,60,9/22/2011,http://www.cbs.com/shows/person_of_interest/,22:00,['Tuesday'],CBS,United States,US,America/New_York,"You are being watched. The government has a secret system, a machine that spies on you every hour of every day. I know because I built it. I designed the Machine to detect acts of terror but it sees everything. Violent crimes involving ordinary people. People like you. Crimes the government considered ""irrelevant"". They wouldn't act so I decided I would. But I needed a partner. Someone with the skills to intervene. Hunted by the authorities, we work in secret. You'll never find us. But victim or perpetrator, if your number is up, we'll find you.",http://static.tvmaze.com/uploads/images/original_untouched/163/407679.jpg,//static.tvmaze.com/uploads/images/medium_portrait/163/407679.jpg,Jonathan Nolan,8.9,317,2016,5 Seasons,"Jim Caviezel, Michael Emerson, Taraji P. Henson, Kevin Chapman, Sarah Shahi, Amy Acker"
2,Bitten,https://www.tvmaze.com/shows/3/bitten,Scripted,English,"['Drama', 'Horror', 'Romance']",Ended,60,1/11/2014,http://bitten.space.ca/,22:00,['Friday'],CTV Sci-Fi Channel,Canada,CA,America/Halifax,"Based on the critically acclaimed series of novels from Kelley Armstrong. Set in Toronto and upper New York State, Bitten follows the adventures of 28-year-old Elena Michaels, the world's only female werewolf. An orphan, Elena thought she finally found her ""happily ever after"" with her new love Clayton, until her life changed forever. With one small bite, the normal life she craved was taken away and she was left to survive life with the Pack.",http://static.tvmaze.com/uploads/images/original_untouched/0/15.jpg,//static.tvmaze.com/uploads/images/medium_portrait/0/15.jpg,Grant RosenbergDaegan Fryklind,7.5,80,2016,3 Seasons,"Laura Vandervoort, Greyston Holt, Greg Bryk, Steve Lund, Paul Greene, Michael Xavier, Genelle Williams"
3,Arrow,https://www.tvmaze.com/shows/4/arrow,Scripted,English,"['Drama', 'Action', 'Science-Fiction']",Ended,60,10/10/2012,http://www.cwtv.com/shows/arrow,21:00,['Tuesday'],The CW,United States,US,America/New_York,"After a violent shipwreck, billionaire playboy Oliver Queen was missing and presumed dead for five years before being discovered alive on a remote island in the Pacific. He returned home to Starling City, welcomed by his devoted mother Moira, beloved sister Thea and former flame Laurel Lance. With the aid of his trusted chauffeur/bodyguard John Diggle, the computer-hacking skills of Felicity Smoak and the occasional, reluctant assistance of former police detective, now beat cop, Quentin Lance, Oliver has been waging a one-man war on crime.",http://static.tvmaze.com/uploads/images/original_untouched/213/534017.jpg,//static.tvmaze.com/uploads/images/medium_portrait/213/534017.jpg,NA,7.4,488,2019,8 Seasons,"Stephen Amell, Katie Cassidy, David Ramsey, Willa Holland, Paul Blackthorne, Emily Bett Rickards, John Barrowman, Colton Haynes, Susanna Thompson, Anna Hopkins, Juliana Harkavy, Adrian Holmes, Kathleen Gati, Echo Kellum, Rick Gonzalez, Dominic Bogart, Manu Bennett"
4,True Detective,https://www.tvmaze.com/shows/5/true-detective,Scripted,English,"['Drama', 'Crime', 'Thriller']",Running,60,1/12/2014,http://www.hbo.com/true-detective,21:00,['Sunday'],HBO,United States,US,America/New_York,Touch darkness and darkness touches you back. True Detective centers on troubled cops and the investigations that drive them to the edge. Each season features a new cast and a new case.,http://static.tvmaze.com/uploads/images/original_untouched/178/445621.jpg,//static.tvmaze.com/uploads/images/medium_portrait/178/445621.jpg,Nic Pizzolatto,8.3,298,NA,NA,NA
5,The 100,https://www.tvmaze.com/shows/6/the-100,Scripted,English,"['Action', 'Adventure', 'Science-Fiction']",Ended,60,3/19/2014,http://www.cwtv.com/shows/the-100/,20:00,['Wednesday'],The CW,United States,US,America/New_York,"Ninety-seven years ago, nuclear Armageddon decimated planet Earth, destroying civilization. The only survivors were the 400 inhabitants of 12 international space stations that were in orbit at the time. Three generations have been born in space, the survivors now number 4,000, and resources are running out on their dying ""Ark"" - the 12 stations now linked together and repurposed to keep the survivors alive. Draconian measures including capital punishment and population control are the order of the day, as the leaders of the Ark take ruthless steps to ensure their future, including secretly exiling a group of 100 juvenile prisoners to the Earth's surface to test whether it's habitable.",http://static.tvmaze.com/uploads/images/original_untouched/257/642675.jpg,//static.tvmaze.com/uploads/images/medium_portrait/257/642675.jpg,NA,7.7,427,2020,7 Seasons,"Eliza Taylor, Paige Turco, Bob Morley, Marie Avgeropoulos, Christopher Larkin, Henry Ian Cusick, Isaiah Washington, Lindsey Morgan, Devon Bostick, Richard Harmon, Ricky Whittle, Jarod Joseph, Chelsey Reist, Sachin Sahel, Adina Porter"
6,Homeland,https://www.tvmaze.com/shows/7/homeland,Scripted,English,"['Drama', 'Thriller', 'Espionage']",Ended,60,10/2/2011,http://www.sho.com/sho/homeland/home,21:00,['Sunday'],Showtime,United States,US,America/New_York,"The winner of 6 Emmy Awards including Outstanding Drama Series, Homeland is an edge-of-your-seat sensation. Marine Sergeant Nicholas Brody is both a decorated hero and a serious threat. CIA officer Carrie Mathison is tops in her field despite being bipolar. The delicate dance these two complex characters perform, built on lies, suspicion, and desire, is at the heart of this gripping, emotional thriller in which nothing short of the fate of our nation is at stake.",http://static.tvmaze.com/uploads/images/original_untouched/230/575652.jpg,//static.tvmaze.com/uploads/images/medium_portrait/230/575652.jpg,Gideon Raff,8.2,365,2019,73 min,"Parambrata Chatterjee, Ani Hovhannisyan, Jonathan Dumontier, Varzu, Sylvie de Neef, Prakashchandra Roy, Nicolas Pierson, Anahit Simonyan"
7,Glee,https://www.tvmaze.com/shows/8/glee,Scripted,English,"['Drama', 'Music', 'Romance']",Ended,60,5/19/2009,http://www.fox.com/glee,21:00,['Tuesday'],FOX,United States,US,America/New_York,"Glee is a musical comedy about a group of ambitious and talented young adults in search of strength, acceptance and, ultimately, their voice.",http://static.tvmaze.com/uploads/images/original_untouched/0/73.jpg,//static.tvmaze.com/uploads/images/medium_portrait/0/73.jpg,Brad FalchukIan BrennanRyan Murphy,6.7,57,2015,6 Seasons,"Lea Michele, Chris Colfer, Jane Lynch, Matthew Morrison, Cory Monteith, Naya Rivera, Kevin McHale, Jenna Ushkowitz, Amber Riley, Mark Salling, Heather Morris, Harry Shum Jr., Jayma Mays, Dianna Agron"
8,Revenge,https://www.tvmaze.com/shows/9/revenge,Scripted,English,"['Drama', 'Thriller', 'Mystery']",Ended,60,9/21/2011,NA,22:00,['Sunday'],ABC,United States,US,America/New_York,"This is not a story about forgiveness; Revenge is a show about retribution. Meet Emily Thorne, the newest resident of The Hamptons. When she was a little girl (and known as Amanda Clarke) her father, David Clarke, was framed for a horrific crime and subsequently sent to prison. While serving his time, the conspirators plotted and murdered David in order to prevent the truth from coming out. Emily is now back with a new identity and ready to take vengeance on the people that murdered her father and stole her childhood.",http://static.tvmaze.com/uploads/images/original_untouched/82/206879.jpg,//static.tvmaze.com/uploads/images/medium_portrait/82/206879.jpg,Mike Kelley,7.8,78,2017,1 Season,"Lalita Panyopas, Saksit Tangtong, Tao Somchai Khemklad, Tack Parunyu Rojanawuttitum, Pongsatorn Jongwilas, Chaleumpol Tikumpornteerawong, Akarin Akaranitimaytharatt, Kanthi Pitithan, Plerng Pollapakk Vacharaponghiran, Kritteera Inpornwijit"
9,Grimm,https://www.tvmaze.com/shows/10/grimm,Scripted,English,"['Drama', 'Crime', 'Supernatural']",Ended,60,10/28/2011,http://www.nbc.com/grimm,20:00,['Friday'],NBC,United States,US,America/New_York,"Grimm is a drama series inspired by the classic Grimm Brothers' Fairy Tales. After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms"", he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.",http://static.tvmaze.com/uploads/images/original_untouched/69/174906.jpg,//static.tvmaze.com/uploads/images/medium_portrait/69/174906.jpg,Stephen CarpenterDavid GreenwaltJim Kouf,8.5,241,NA,NA,NA
10,Gotham,https://www.tvmaze.com/shows/11/gotham,Scripted,English,"['Drama', 'Action', 'Crime']",Ended,60,9/22/2014,http://www.fox.com/gotham,20:00,['Thursday'],FOX,United States,US,America/New_York,The good. The evil. The beginning.,http://static.tvmaze.com/uploads/images/original_untouched/189/474715.jpg,//static.tvmaze.com/uploads/images/medium_portrait/189/474715.jpg,Bruno Heller,7.7,328,2019,5 Seasons,"Ben McKenzie, Donal Logue, Jada Pinkett Smith, David Mazouz, Sean Pertwee, Camren Bicondova, Robin Lord Taylor, Cory Michael Smith, Erin Richards, John Doman, Victoria Cartagena, Andrew Stewart-Jones, Larry Pine, Jessica Lucas, Maggie Geha, Charlie Tahan, Drew Powell, Morena Baccarin, Anthony Carrigan, Crystal Reed, Chris Chalk, Damian Young, Michael Buscemi, Alexander Siddig, Michael Maize"
11,Lost Girl,https://www.tvmaze.com/shows/12/lost-girl,Scripted,English,"['Drama', 'Fantasy', 'Horror']",Ended,60,9/12/2010,http://www.showcase.ca/lostgirl,22:00,['Sunday'],Showcase,Canada,CA,America/Halifax,"Lost Girl follows supernatural seductress Bo, a Succubus who feeds on the sexual energy of humans. Growing up with human parents, Bo had no reason to believe she was anything other than the girl next door — until she drained her boyfriend to death in their first sexual encounter. Now she has hit the road alone and afraid.  She discovers she is one of the Fae, creatures of legend and folklore, who pass as humans while feeding off them secretly and in different ways, as they have for millennia. Relieved yet horrified to find out that she is not alone, Bo decides to take the middle path between the humans and the Fae while embarking on a personal mission to unlock the secrets of her origin.",http://static.tvmaze.com/uploads/images/original_untouched/0/137.jpg,//static.tvmaze.com/uploads/images/medium_portrait/0/137.jpg,Michelle Lovretta,8.1,95,2015,5 Seasons,"Anna Silk, Kris Holden-Ried, Ksenia Solo, Richard Howland, Zoie Palmer, K.C. Collins"
12,The Flash,https://www.tvmaze.com/shows/13/the-flash,Scripted,English,"['Drama', 'Action', 'Science-Fiction']",Running,60,10/7/2014,http://www.cwtv.com/shows/the-flash/,20:00,['Tuesday'],The CW,United States,US,America/New_York,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash!",http://static.tvmaze.com/uploads/images/original_untouched/296/740329.jpg,//static.tvmaze.com/uploads/images/medium_portrait/296/740329.jpg,NA,7.8,517,2019,6 Seasons,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht"
13,Continuum,https://www.tvmaze.com/shows/14/continuum,Scripted,English,"['Drama', 'Crime', 'Science-Fiction']",Ended,60,5/27/2012,http://www.showcase.ca/Continuum,21:00,['Sunday'],Showcase,Canada,CA,America/Halifax,"Continuum is a one-hour police drama centered on Kiera Cameron, a regular cop from 65 years in the future who finds herself trapped in present day Vancouver. She is alone, a stranger in a strange land, and has eight of the most ruthless criminals from the future, known as Liber8, loose in the city.",http://static.tvmaze.com/uploads/images/original_untouched/0/184.jpg,//static.tvmaze.com/uploads/images/medium_portrait/0/184.jpg,Simon Barry,8.2,180,NA,NA,NA
14,Constantine,https://www.tvmaze.com/shows/15/constantine,Scripted,English,"['Drama', 'Action', 'Horror']",Ended,60,10/24/2014,https://www.nbc.com/constantine,20:00,['Friday'],NBC,United States,US,America/New_York,"Based on the wildly popular comic book series ""Hellblazer"" from DC Comics, seasoned demon hunter and master of the occult John Constantine is armed with a ferocious knowledge of the dark arts and a wickedly naughty wit. He fights the good fight - or at least he did. With his soul already damned to hell, he's decided to abandon his campaign against evil until a series of events thrusts him back into the fray, and he'll do whatever it takes to protect the innocent. With the balance of good and evil on the line‎, Constantine will use his skills to travel the country, find the supernatural terrors that threaten our world and send them back where they belong. After that, who knows... maybe there's hope for him and his soul after all.",http://static.tvmaze.com/uploads/images/original_untouched/0/154.jpg,//static.tvmaze.com/uploads/images/medium_portrait/0/154.jpg,Daniel CeroneDavid S. Goyer,7.5,138,NA,NA,NA
15,Penny Dreadful,https://www.tvmaze.com/shows/16/penny-dreadful,Scripted,English,"['Horror', 'Thriller', 'Supernatural']",Ended,60,5/11/2014,http://www.sho.com/penny-dreadful,21:00,['Sunday'],Showtime,United States,US,America/New_York,"Some of literature's most terrifying characters, including Dr. Frankenstein and his monster, Dorian Gray, and iconic figures from the novel Dracula are lurking in the darkest corners of Victorian London. They are joined by a core of original characters in a complex, frightening new narrative. Penny Dreadful is a psychological thriller filled with dark mystery and suspense, where personal demons from the past can be stronger than vampires, evil spirits and immortal beasts.",http://static.tvmaze.com/uploads/images/original_untouched/48/122260.jpg,//static.tvmaze.com/uploads/images/medium_portrait/48/122260.jpg,John Logan,8.3,182,2016,3 Seasons,"Josh Hartnett, Eva Green, Timothy Dalton, Reeve Carney, Rory Kinnear, Billie Piper, Danny Sapani, Harry Treadaway"
16,The Amazing Race,https://www.tvmaze.com/shows/18/the-amazing-race,Reality,English,"['Action', 'Adventure', 'Family']",Running,60,9/5/2001,http://www.cbs.com/shows/amazing_race/,20:00,['Wednesday'],CBS,United States,US,America/New_York,"From athletes and actors to tattoo artists, social workers and musicians - a diverse mix of teams will need to utilize their street smarts and savvy know-how to compete in the race of their lifetime.",http://static.tvmaze.com/uploads/images/original_untouched/237/592579.jpg,//static.tvmaze.com/uploads/images/medium_portrait/237/592579.jpg,Elise DoganieriBertram van Munster,7.8,28,NA,NA,NA
17,Supernatural,https://www.tvmaze.com/shows/19/supernatural,Scripted,English,"['Drama', 'Action', 'Supernatural']",Ended,60,9/13/2005,http://www.cwtv.com/shows/supernatural,20:00,['Thursday'],The CW,United States,US,America/New_York,"This haunting series follows the Winchester brothers as they crisscross the lonely and mysterious back roads of the country in their '67 Chevy Impala, hunting down every evil supernatural force they encounter along the way.",http://static.tvmaze.com/uploads/images/original_untouched/268/672051.jpg,//static.tvmaze.com/uploads/images/medium_portrait/268/672051.jpg,Eric Kripke,8.4,412,2019,15 Seasons,"Jared Padalecki, Jensen Ackles, Mark Sheppard, Misha Collins, Jim Beaver, Andrea Menard, Samantha Smith, Mark Pellegrino, Alexander Calvert"
18,The Strain,https://www.tvmaze.com/shows/20/the-strain,Scripted,English,"['Drama', 'Horror', 'Thriller']",Ended,60,7/13/2014,http://www.fxnetworks.com/thestrain,22:00,['Sunday'],FX,United States,US,America/New_York,"The Strain is a high-concept thriller that tells the story of Dr. Ephraim Goodweather, the head of the Center for Disease Control Canary Team in New York City. He and his team are called upon to investigate a mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism. As the strain spreads, Goodweather, his team, and an assembly of everyday New Yorkers wage war for the fate of humanity itself.",http://static.tvmaze.com/uploads/images/original_untouched/70/175363.jpg,//static.tvmaze.com/uploads/images/medium_portrait/70/175363.jpg,Guillermo del ToroChuck Hogan,7.5,207,NA,NA,NA
19,The Last Ship,https://www.tvmaze.com/shows/21/the-last-ship,Scripted,English,"['Drama', 'Action', 'Thriller']",Ended,60,6/22/2014,http://www.tntdrama.com/shows/the-last-ship,21:00,['Sunday'],TNT,United States,US,America/New_York,"Their mission is simple: Find a cure. Stop the virus. Save the world. When a global pandemic wipes out eighty percent of the planet's population, the crew of a lone and unaffected Navy destroyer, the USS Nathan James, must find a way to pull humanity from the brink of extinction.",http://static.tvmaze.com/uploads/images/original_untouched/164/412464.jpg,//static.tvmaze.com/uploads/images/medium_portrait/164/412464.jpg,Hank SteinbergSteven Kane,7.6,225,NA,NA,NA
20,True Blood,https://www.tvmaze.com/shows/22/true-blood,Scripted,English,"['Drama', 'Romance', 'Supernatural']",Ended,60,9/7/2008,http://www.hbo.com/true-blood,21:00,['Sunday'],HBO,United States,US,America/New_York,"True Blood is a horror/drama based on a series of novels called The Southern American Vampires Mysteries. It focuses on Sookie Stackhouse and her various encounters with vampires and other supernatural beings. The show is centred in the small town of Bon Temps in Louisiana. The show focuses heavily on the co-existence of humans with vampires. The show also touches on several other controversial issues involving equal rights, violence, discrimination and religion.",http://static.tvmaze.com/uploads/images/original_untouched/236/590987.jpg,//static.tvmaze.com/uploads/images/medium_portrait/236/590987.jpg,Alan Ball,7.9,148,NA,NA,NA
21,Once Upon a Time in Wonderland,https://www.tvmaze.com/shows/23/once-upon-a-time-in-wonderland,Scripted,English,"['Drama', 'Adventure', 'Fantasy']",Ended,60,10/10/2013,NA,20:00,['Thursday'],ABC,United States,US,America/New_York,"In Victorian England, the young and beautiful Alice tells a tale of a strange new land that exists on the other side of a rabbit hole. An invisible cat, a hookah smoking caterpillar and playing-cards that talk are just some of the fantastic things she's seen during this impossible adventure. Surely this troubled girl must be insane, and her doctors aim to cure her with a treatment that will make her forget everything. Alice seems ready to put it all behind her, especially the painful memory of the genie she fell in love with and lost forever -- the handsome and mysterious Cyrus . But deep down Alice knows this world is real, and just in the nick of time the sardonic Knave of Hearts and the irrepressible White Rabbit arrive to save her from a doomed fate. Together the trio will take a tumble down the rabbit hole to this Wonderland where nothing is impossible.",http://static.tvmaze.com/uploads/images/original_untouched/73/183661.jpg,//static.tvmaze.com/uploads/images/medium_portrait/73/183661.jpg,Edward KitsisAdam HorowitzJane EspensonZack Estrin,6.7,40,NA,NA,NA
22,Hawaii Five-0,https://www.tvmaze.com/shows/24/hawaii-five-0,Scripted,English,"['Drama', 'Action', 'Crime']",Ended,60,9/20/2010,http://www.cbs.com/shows/hawaii_five_0/,21:00,['Friday'],CBS,United States,US,America/New_York,"Hawaii Five-0 is a contemporary take on the classic series about a new elite federalized task force whose mission is to wipe out the crime that washes up on the Islands' sun-drenched beaches. Detective Steve McGarrett, a decorated Naval officer-turned-cop, returned to Oahu to investigate his father's murder and stayed after Hawaii's former governor persuaded him to head up the new team: his rules, no red tape and full blanket authority to hunt down the biggest ""game"" in town. Joining McGarrett is Detective Danny ""Danno"" Williams, a relocated ex-New Jersey cop - a working man in paradise who prefers skyscrapers to the coastline - but who's committed to keeping the Islands safe for his young daughter; Chin Ho Kelly, an ex-Honolulu police detective and former protégé of McGarrett's father who was wrongly accused of corruption; Dr. Max Bergman, the quirky coroner; Chin's cousin, Kono Kalakaua, a beautiful and fearless native; and Captain Lou Grover, who formerly headed Hawaii's SWAT unit. Joining them is Jerry Ortega, a former classmate of Chin's and the Island's local conspiracy theorist. The state's brash FIVE-0 unit, who may spar and jest among themselves, remain determined to eliminate the seedy elements from the 50th state.",http://static.tvmaze.com/uploads/images/original_untouched/213/532575.jpg,//static.tvmaze.com/uploads/images/medium_portrait/213/532575.jpg,Leonard Freeman,7.6,204,NA,NA,NA
23,Hellsing,https://www.tvmaze.com/shows/25/hellsing,Animation,Japanese,"['Anime', 'Horror', 'Supernatural']",Ended,30,10/10/2001,NA,NA,['Wednesday'],Fuji TV,Japan,JP,Asia/Tokyo,Hellsing is a 13-part anime based on the manga of the same name. The plot is significantly difficult to that of the the manga although the characters are the same. The show mainly focuses on the hellsing institute that houses the anti-hero named Alucard who swore loyalty to the Helsing family many years before. Alucard being the first ever vampire takes on a new apprentice named Sera's.,http://static.tvmaze.com/uploads/images/original_untouched/178/446544.jpg,//static.tvmaze.com/uploads/images/medium_portrait/178/446544.jpg,NA,7.8,19,NA,NA,NA
24,Hellsing Ultimate,https://www.tvmaze.com/shows/26/hellsing-ultimate,Animation,Japanese,"['Drama', 'Action', 'Anime', 'Horror']",Ended,50,2/10/2006,NA,12:00,['Wednesday'],TBS,Japan,JP,Asia/Tokyo,"Hellsing Ultimate, unlike the 13-part Hellsing series, follows the manga of the same name very closely. Alucard being the main protagonist and anti-hero/vampire. Hellsing Ultimate is a 10-part series of OVAs whereby Alucard turns Sera's into a vampire. The main focus of the plot being on an enemy neo-nazi group.",http://static.tvmaze.com/uploads/images/original_untouched/178/446780.jpg,//static.tvmaze.com/uploads/images/medium_portrait/178/446780.jpg,Kohta Hirano,7.9,16,NA,NA,NA
25,Berserk,https://www.tvmaze.com/shows/27/berserk,Animation,Japanese,"['Anime', 'Fantasy', 'Horror']",Ended,25,10/7/1997,NA,NA,['Tuesday'],NTV,Japan,JP,Asia/Tokyo,Berserk is a 25-part anime set in a dark fantasy/horror environment whereby the series focuses on the main character guts; a lone swordman who later meets up with a group of mercenaries called the band of the hawk. The leader of this band holds a strange necklace called a behelit that will only lead to evil.,http://static.tvmaze.com/uploads/images/original_untouched/0/249.jpg,//static.tvmaze.com/uploads/images/medium_portrait/0/249.jpg,NA,8.5,20,NA,NA,NA
26,Californication,https://www.tvmaze.com/shows/28/californication,Scripted,English,"['Drama', 'Comedy']",Ended,30,8/13/2007,http://www.sho.com/sho/californication/home,21:30,['Sunday'],Showtime,United States,US,America/New_York,Californication is a series based around the writer Hank Moody. He moves to California and suffers a writers block as well as many other family and personal issues. His drinking and generally unhealthy lifestyle interrupts his relationships with his long term lover Karen and his daughter Becca as he struggles with his manager Charlie Runkle.,http://static.tvmaze.com/uploads/images/original_untouched/38/95017.jpg,//static.tvmaze.com/uploads/images/medium_portrait/38/95017.jpg,Tom Kapinos,8,103,NA,NA,NA
27,Vikings,https://www.tvmaze.com/shows/29/vikings,Scripted,English,"['Drama', 'Action', 'History']",Ended,60,3/3/2013,https://www.history.ca/shows/vikings/,21:00,['Friday'],History,Canada,CA,America/Halifax,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",http://static.tvmaze.com/uploads/images/original_untouched/286/715906.jpg,//static.tvmaze.com/uploads/images/medium_portrait/286/715906.jpg,Michael Hirst,8.7,446,NA,NA,NA
28,American Horror Story,https://www.tvmaze.com/shows/30/american-horror-story,Scripted,English,"['Drama', 'Horror', 'Thriller']",Running,60,10/5/2011,http://www.fxnetworks.com/shows/american-horror-story,22:00,['Wednesday'],FX,United States,US,America/New_York,"American Horror Story is an horror television anthology series. Each season is conceived as a self-contained miniseries, following a disparate set of characters and settings, and a storyline with its own beginning, middle, and end. While some actors appear for more than one year, they play completely different roles in each season.",http://static.tvmaze.com/uploads/images/original_untouched/282/706314.jpg,//static.tvmaze.com/uploads/images/medium_portrait/282/706314.jpg,Brad FalchukRyan Murphy,7.8,230,2019,9 Seasons,"Evan Peters, Sarah Paulson, Jessica Lange, Denis O'Hare, Kathy Bates, Angela Bassett, Lily Rabe, Frances Conroy, Cheyenne Jackson, Emma Roberts, Taissa Farmiga, Wes Bentley, Finn Wittrock, Chloë Sevigny, Zachary Quinto, Jamie Brewer, Naomi Grossman, Dylan McDermott, Gabourey Sidibe, Lady Gaga, Mare Winningham, Joseph Fiennes, Michael Chiklis, Matt Bomer, Lizzie Brocheré, Erika Ervin, Mat Fraser, Rose Siggins, Connie Britton, James Cromwell, Adina Porter, Jyoti Amge, Billie Lourde, Alison Pill, Billy Eichner, Leslie Grossman, Colton Haynes, Cuba Gooding Jr., André Holland, Danny Huston"
29,Marvel's Agents of S.H.I.E.L.D.,https://www.tvmaze.com/shows/31/marvels-agents-of-shield,Scripted,English,"['Action', 'Adventure', 'Science-Fiction']",Ended,60,9/24/2013,http://abc.go.com/shows/marvels-agents-of-shield,22:00,['Wednesday'],ABC,United States,US,America/New_York,"Phil Coulson heads an elite team of fellow agents with the worldwide law-enforcement organization known as S.H.I.E.L.D. (Strategic Homeland Intervention Enforcement and Logistics Division), as they investigate strange occurrences around the globe. Its members -- each of whom brings a specialty to the group -- work with Coulson to protect those who cannot protect themselves from extraordinary and inconceivable threats.",http://static.tvmaze.com/uploads/images/original_untouched/253/634071.jpg,//static.tvmaze.com/uploads/images/medium_portrait/253/634071.jpg,Joss WhedonJed WhedonMaurissa Tancharoen,8,490,2020,7 Seasons,"Clark Gregg, Ming-Na Wen, Brett Dalton, Chloe Bennet, Iain De Caestecker, Elizabeth Henstridge, Adrianne Palicki, Luke Mitchell, Henry Simmons"
30,Fargo,https://www.tvmaze.com/shows/32/fargo,Scripted,English,"['Drama', 'Crime']",Running,60,4/15/2014,http://www.fxnetworks.com/fargo,22:00,['Sunday'],FX,United States,US,America/New_York,"Fargo is a seasonal anthology crime drama with some dark comical elements, inspired by the film Fargo written by the Coen brothers. Each season follows a new case and new characters, all entrenched in the trademark humor, murder and ""Minnesota nice"" that has made the film an enduring classic.",http://static.tvmaze.com/uploads/images/original_untouched/267/669639.jpg,//static.tvmaze.com/uploads/images/medium_portrait/267/669639.jpg,Noah Hawley,8.9,287,NA,NA,NA
31,Hemlock Grove,https://www.tvmaze.com/shows/33/hemlock-grove,Scripted,English,"['Drama', 'Horror', 'Thriller']",Ended,NA,4/19/2013,https://www.netflix.com/title/70242310,NA,[],NA,NA,NA,NA,"Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.",http://static.tvmaze.com/uploads/images/original_untouched/0/305.jpg,//static.tvmaze.com/uploads/images/medium_portrait/0/305.jpg,Lee ShipmanBrian McGreevy,7,60,2015,3 Seasons,"Famke Janssen, Landon Liboiron, Dougray Scott, Bill Skarsgård, Joel de la Fuente, Kaniehtiio Horn, Madeleine Martin, Michael Andreae, Penelope Mitchell, Freya Tingley, Laurie Fortier, Nicole Boivin, Ted Dykstra, Lili Taylor, Aaron Douglas, Kandyse McClure, Marty Adams, Demore Barnes, Madeline Brewer"
32,Helix,https://www.tvmaze.com/shows/34/helix,Scripted,English,"['Horror', 'Science-Fiction', 'Thriller']",Ended,60,1/10/2014,NA,22:00,['Friday'],Syfy,United States,US,America/New_York,Helix is a science fiction thriller that focuses on a CDC expedition into the arctic. They go there to investigate the potential outbreak of a disease with no idea what they are getting themselves into. They encounter an almost zombie-like threat that could threaten mankind itself whilst the operator of the facility seems to know more than what he is saying.,http://static.tvmaze.com/uploads/images/original_untouched/126/316697.jpg,//static.tvmaze.com/uploads/images/medium_portrait/126/316697.jpg,Cameron Porsandeh,6.5,90,2015,1 Season,"Billy Campbell, Hiroyuki Sanada, Kyra Zagorsky, Mark Ghanimé, Meegwun Fairbrother, Jordan Hayes, Neil Napier, Matt Long, Severn Thompson, Jeri Ryan, Catherine Lemieux"
33,The Killing,https://www.tvmaze.com/shows/35/the-killing,Scripted,English,"['Drama', 'Crime', 'Thriller']",Ended,60,4/3/2011,http://www.amc.com/shows/the-killing,21:00,['Friday'],AMC,United States,US,America/New_York,"The Killing follows Seattle homicide detectives Stephen Holder and Sarah Linden and their work as detectives investigating murders. Sarah Linden takes cases very seriously and has issues keeping her work and family separate, as she pairs up with recovering addict Stephen Holder to solve dark murders.",http://static.tvmaze.com/uploads/images/original_untouched/216/540157.jpg,//static.tvmaze.com/uploads/images/medium_portrait/216/540157.jpg,NA,8.4,83,NA,NA,NA
