,name,Show URL,Show Type,Language,Genres,Status,Runtime,Premiere Date,Official Site,Time,Day,Network,Country,Country Code,Timezone,Summary,Full Img,Med img,Created By,Ratings,Ratings Count,Release_year,Duration,Cast
215,The Crazy Ones,https://www.tvmaze.com/shows/226/the-crazy-ones,Scripted,English,['Comedy'],Ended,30,9/26/2013,NA,21:30,['Thursday'],CBS,United States,US,America/New_York,"The Crazy Ones is a comedy about a larger-than-life advertising genius whose unorthodox methods and unpredictable behavior would get him fired... if he weren't the boss. Simon Roberts is the head of a powerful agency, with the biggest clients and brands in the world, but even more important to him is that his daughter Sydney is by his side. As his partner, Sydney is Simon's exact opposite - focused, organized and eager to make a name for herself, but also too busy parenting her father, which she'd resent if he wasn't so brilliant at what he does. Joining them in the firm are the dashing and talented Zach art director Andrew, who's as hard-working as he is neurotic; and the beautiful and deceptively smart assistant Lauren. With his team and his daughter behind him, Simon continues to set the advertising world on fire, and it looks like they are definitely buying what these crazy ones are selling.",http://static.tvmaze.com/uploads/images/original_untouched/1/3713.jpg,//static.tvmaze.com/uploads/images/medium_portrait/1/3713.jpg,David E. Kelley,7.1,21,NA,NA,NA
216,Mob City,https://www.tvmaze.com/shows/227/mob-city,Scripted,English,"['Drama', 'Crime']",Ended,60,12/4/2013,NA,21:00,['Wednesday'],TNT,United States,US,America/New_York,"The epic battle between a determined police chief and a dangerous mobster inflames 1940s Los Angeles in TNT's eagerly anticipated television event Mob City. This powerful drama comes to TNT from Frank Darabont, who wrote and directed the pilot and serves as executive producer on the series. Based on the critically acclaimed book L.A. Noir: The Struggle for the Soul of America's Most Seductive City, by John Buntin, Mob City opens in post-war Los Angeles, home to glamorous movie stars, powerful studio heads and returning war heroes. But it's also a city caught between a powerful and corrupt police force and an even more dangerous criminal network determined to make L.A. its West Coast base. Los Angeles Police Chief William Parker has made it his mission to free the city of criminals like Ben ""Bugsy"" Siegel and Mickey Cohen, the ruthless king of the Los Angeles underworld. Parker also won't hesitate to go after anyone from his own police force who sells out honor and duty for the sake of a big payout. To carry out his sweep of organized crime, Parker sets up a new mob task force within the LAPD. Headed by Det. Hal Morrison, the task force includes Det. Joe Teague, an ex-Marine who holds his cards close to his chest.",http://static.tvmaze.com/uploads/images/original_untouched/117/293987.jpg,//static.tvmaze.com/uploads/images/medium_portrait/117/293987.jpg,Frank Darabont,7.4,13,NA,NA,NA
217,Last Resort,https://www.tvmaze.com/shows/228/last-resort,Scripted,English,"['Drama', 'Action', 'War']",Ended,60,9/27/2012,NA,20:00,['Thursday'],ABC,United States,US,America/New_York,"500 feet beneath the ocean's surface, the U.S. ballistic missile submarine Colorado receive their orders. Over a radio channel, designed only to be used if their homeland has been wiped out, they're told to fire nuclear weapons at Pakistan. Captain Marcus Chaplin demands confirmation of the orders only to be unceremoniously relieved of duty by the White House. XO Sam Kendal finds himself suddenly in charge of the submarine and facing the same difficult decision. When he also refuses to fire without confirmation of the orders, the Colorado is targeted, fired upon, and hit. The submarine and its crew find themselves crippled on the ocean floor, declared rogue enemies of their own country. Now, with nowhere left to turn, Chaplin and Kendal take the sub on the run and bring the men and women of the Colorado to an exotic island. Here they will find refuge, romance and a chance at a new life, even as they try to clear their names and get home.",http://static.tvmaze.com/uploads/images/original_untouched/1/3741.jpg,//static.tvmaze.com/uploads/images/medium_portrait/1/3741.jpg,Karl GajdusekShawn Ryan,7.3,46,NA,NA,NA
218,The Neighbors,https://www.tvmaze.com/shows/229/the-neighbors,Scripted,English,"['Comedy', 'Science-Fiction']",Ended,30,9/26/2012,http://abc.go.com/shows/the-neighbors,20:30,['Friday'],ABC,United States,US,America/New_York,"The Neighbors revolves around a family that has relocated to a gated townhouse community in New Jersey called ""Hidden Hills"". Upon their arrival, they discover that the entire community is populated by residents from another planet. Amongst their myriad quirks, these aliens identify themselves by the names of sports celebrities, patrol the community in golf carts, dress alike, receive nourishment through their eyes and mind by reading books rather than eating, and cry green goo from their ears. The aliens have assumed human form, but they can revert to their natural appearance by clapping their hands above their heads. They have been stuck on Earth for 10 years, still awaiting instructions to return home.",http://static.tvmaze.com/uploads/images/original_untouched/1/3763.jpg,//static.tvmaze.com/uploads/images/medium_portrait/1/3763.jpg,Dan Fogelman,7.2,12,NA,NA,NA
219,Go On,https://www.tvmaze.com/shows/230/go-on,Scripted,English,['Comedy'],Ended,30,8/8/2012,NA,21:30,['Thursday'],NBC,United States,US,America/New_York,"Following the sudden death of his wife, sports radio personality Ryan King is forced to attend grief counseling. Feeling it unnecessary, he does so reluctantly, and with minimal participation, until it becomes clear that this may actually help him in unexpected ways.",http://static.tvmaze.com/uploads/images/original_untouched/1/3773.jpg,//static.tvmaze.com/uploads/images/medium_portrait/1/3773.jpg,Scott Silveri,7,20,NA,NA,NA
220,Vegas,https://www.tvmaze.com/shows/231/vegas,Scripted,English,['Drama'],Ended,60,9/25/2012,NA,21:00,['Friday'],CBS,United States,US,America/New_York,"Vegas is a drama inspired by the true story of former Las Vegas Sheriff Ralph Lamb, a fourth-generation rancher tasked with bringing order to Las Vegas in the 1960s, a gambling and entertainment mecca emerging from the tumbleweeds. Ralph Lamb wants to be left in peace to run his ranch, but Las Vegas is now swelling with outsiders and corruption which are intruding on his simple life. Recalling Lamb's command as a military police officer during World War II, the Mayor appeals to his sense of duty to look into a murder of a casino worker - and so begins Lamb's clash with Vincent Savino, a ruthless Chicago gangster who plans to make Vegas his own. Assisting Lamb in keeping law and order are his two deputies: his diplomatic, even-keeled brother Jack and his charming but impulsive son Dixon. Ambitious Assistant District Attorney Katherine O'Connell, who grew up on the ranch next to the Lambs, also lends a hand in preserving justice. In Vegas, two powerful men - Lamb and Savino - are engaged in a fierce battle for control of the budding oasis, and for both of them, folding is not an option.",http://static.tvmaze.com/uploads/images/original_untouched/1/3781.jpg,//static.tvmaze.com/uploads/images/medium_portrait/1/3781.jpg,Greg WalkerNicholas Pileggi,7.9,22,NA,NA,NA
221,The River,https://www.tvmaze.com/shows/232/the-river,Scripted,English,"['Drama', 'Horror', 'Supernatural']",Ended,60,2/7/2012,NA,21:00,['Tuesday'],ABC,United States,US,America/New_York,"The River follows the story of wildlife expert and TV personality Emmet Cole. Emmet set course around the world with his wife, Tess, and son, Lincoln, while filming what would become one of the most popular shows in television. After he goes missing deep in the Amazon, his family, friends and crew set out on a mysterious and deadly journey to find him. Famed explorer Dr. Emmet Cole went looking for magic deep in the uncharted Amazon and never returned. The shocking truth about his disappearance is out there, somewhere, just waiting to be discovered. To the millions of kids who grew up watching his nature show, Dr. Cole was a hero. To his own son, Lincoln he was more of an enigma. Now, six months after he vanished, Lincoln is finally ready to bury the past when Dr. Cole's emergency beacon suddenly goes off. At the urging of his mother, Tess Lincoln reluctantly joins her on a search for his father. To fund the rescue, they agree to let Dr. Cole's cagey ex-producer, Clark film the mission documentary-style.",http://static.tvmaze.com/uploads/images/original_untouched/1/3788.jpg,//static.tvmaze.com/uploads/images/medium_portrait/1/3788.jpg,Michael R. PerryOren Peli,6.7,23,NA,NA,NA
222,Awake,https://www.tvmaze.com/shows/233/awake,Scripted,English,"['Drama', 'Fantasy', 'Thriller']",Ended,60,3/1/2012,NA,22:00,['Thursday'],NBC,United States,US,America/New_York,"Awake is an intriguing drama about Detective Michael Britten who finds he's living two parallel lives. He's involved in a car accident that seems to have killed both his son and wife yet his mind creates an ingenious coping mechanism in which he now lives two separate lives - one where his wife survived and the other where his son did. Trying to regain some normalcy, Michael returns to solving crimes in both worlds with the help of two different partners, Detective Isaiah ""Bird"" Freeman and Detective Efrem Vega Michael is assigned a different case in each reality and quickly discovers that his dual existence is actually a powerful tool. He begins to solve impossible cases by using his two realities to gain unique perspectives and link clues that cross over from world to world. Helping Michael to navigate his two realities are his bureau-assigned therapists Dr. Evans and Dr. Lee While both therapists work to untangle his two worlds, Michael has no interest in proving either one is false. But when memories of the accident begin to haunt him, he is forced to confront the truth about what really happened the night of the crash.",http://static.tvmaze.com/uploads/images/original_untouched/1/3799.jpg,//static.tvmaze.com/uploads/images/medium_portrait/1/3799.jpg,Kyle Killen,7.3,48,2019,92 min,"Jonathan Rhys Meyers, Francesca Eastwood, Malik Yoba, William Forsythe, James Austin Kerr, Jeremy Parr"
223,Missing,https://www.tvmaze.com/shows/234/missing,Scripted,English,"['Drama', 'Action', 'Thriller']",Ended,60,3/15/2012,NA,20:00,['Thursday'],ABC,United States,US,America/New_York,"Becca Winstone learns that her son, Michael, disappears while studying abroad, and it's a race against time when she travels to Europe to track him down. A surprising turn of events reveals just how far one mother will go to protect her family. Exotic locations and thrilling twists will keep you riveted in Missing. How far would you go to save the only thing you have left in the world? At 8 years old, Michael watched as his father, CIA Agent Paul Winstone, was murdered. Now 10 years later, Paul's wife, Becca, is faced with the reality of her son growing up. When Michael is afforded the opportunity to study abroad, his mother reluctantly agrees it's time to let him go. Just a few weeks into his trip Michael disappears, and Becca immediately suspects foul play. When she arrives in Rome, she begins piecing together the clues left behind. It isn't long before the kidnappers realize they've picked a fight with the wrong woman. Becca Winstone has a secret of her own -- before Paul's death, she was also a lethal CIA Agent. But if she wants to find her son alive, Becca will have to rely on old friends and reopen old wounds. Her resourcefulness, skill and determination will be put to the test - but a mother's love knows no limits.",http://static.tvmaze.com/uploads/images/original_untouched/1/3808.jpg,//static.tvmaze.com/uploads/images/medium_portrait/1/3808.jpg,Greg Poirier,6.7,15,NA,NA,NA
224,The New Normal,https://www.tvmaze.com/shows/235/the-new-normal,Scripted,English,['Comedy'],Ended,30,9/10/2012,NA,21:30,['Tuesday'],NBC,United States,US,America/New_York,"These days, families come in all forms - single dads, double moms, sperm donors, egg donors, one-night-stand donors. Bryan and David are a Los Angeles couple and they have it all. Well, almost. With successful careers and a committed, loving partnership, there is one thing that this couple is missing: a baby. Just when they think the stars will never align, enter Goldie an extraordinary young woman with a checkered past. A midwestern waitress and single mother looking to escape her dead-end life and small-minded grandmother Goldie decides to change everything and move out west with her precocious eight year-old daughter. Desperate and broke - but also fertile - Goldie quickly becomes the guys' surrogate and quite possibly the girl of their dreams. Surrogate mother, surrogate family.",http://static.tvmaze.com/uploads/images/original_untouched/1/3817.jpg,//static.tvmaze.com/uploads/images/medium_portrait/1/3817.jpg,Ryan MurphyAllison Adler,7.3,11,NA,NA,NA
225,GCB,https://www.tvmaze.com/shows/236/gcb,Scripted,English,"['Drama', 'Comedy', 'Romance']",Ended,60,3/4/2012,http://abc.go.com/shows/gcb,22:00,['Sunday'],ABC,United States,US,America/New_York,"Amanda Vaughn once the ultimate high school ""mean girl"", is forced to return home in disgrace after her marriage ends in scandal. Amanda is nothing like the girl she was 20 years ago, but as her old classmates reacquaint themselves with the new Amanda, will her home town welcome her with open arms or seek revenge? No one in this town is a saint, but that doesn't mean they can't have a heart. As Amanda and her teenage kids try to adjust to their new lives, the ladies from her past alternate between sympathy and scheming.",http://static.tvmaze.com/uploads/images/original_untouched/84/212122.jpg,//static.tvmaze.com/uploads/images/medium_portrait/84/212122.jpg,NA,7.3,9,NA,NA,NA
226,Revolution,https://www.tvmaze.com/shows/237/revolution,Scripted,English,"['Action', 'Adventure', 'Science-Fiction']",Ended,60,9/17/2012,NA,20:00,['Wednesday'],NBC,United States,US,America/New_York,"What would you do without it all? In this epic adventure, a family struggles to reunite in an American landscape void of electricity: a world of empty cities, local militias and heroic freedom fighters, where every single piece of technology -- computers, planes, cars, phones, even lights -- has mysteriously blacked out forever.",http://static.tvmaze.com/uploads/images/original_untouched/55/138043.jpg,//static.tvmaze.com/uploads/images/medium_portrait/55/138043.jpg,Eric Kripke,7.5,102,NA,NA,NA
227,Dallas,https://www.tvmaze.com/shows/238/dallas,Scripted,English,"['Drama', 'Family']",Ended,60,6/13/2012,NA,21:00,['Monday'],TNT,United States,US,America/New_York,"Dallas follows Bobby Ewing, now the senior member of the Ewing family following the death of his older brother J.R. Ewing. Following the death of his revered father, John Ross is out to prove he can be just as powerful an ally or enemy as his infamous father. Bobby's adopted son Christopher is newly single and determined to make a name for himself and his family in the world of natural gas. Elena Ramos is the former girlfriend of both John Ross and Christopher who is now blinded by thoughts of justice for previous wrongs. Pamela Rebecca Barnes is John Ross' wife and the daughter of Cliff Barnes, a longtime rival of the Ewings. She is determined to have a happy ending with her husband and make a home on Southfork Ranch. Also featured is Bobby's wife Ann and Harris Ryland, her scheming ex-husband. Emma Ryland is Ann and Harris' daughter, who has been taught by her father and grandmother.",http://static.tvmaze.com/uploads/images/original_untouched/1/3848.jpg,//static.tvmaze.com/uploads/images/medium_portrait/1/3848.jpg,David Jacobs,6.3,8,NA,NA,NA
228,Anger Management,https://www.tvmaze.com/shows/239/anger-management,Scripted,English,['Comedy'],Ended,30,6/28/2012,http://www.fxnetworks.com/angermanagement,22:00,['Monday'],FX,United States,US,America/New_York,"In Anger Management, Charlie is a non-traditional therapist specializing in anger management. He has a successful private practice, holding sessions with his group of primary patients each week, as well as performing pro-bono counseling for an inmate group at a state prison.",http://static.tvmaze.com/uploads/images/original_untouched/1/3885.jpg,//static.tvmaze.com/uploads/images/medium_portrait/1/3885.jpg,Bruce Helford,6.7,30,2003,105 min,"Adam Sandler, Jack Nicholson, Marisa Tomei, Luis Guzmán, Allen Covert, Lynne Thigpen, Kurt Fuller, Jonathan Loughran, Krista Allen, January Jones, Woody Harrelson, John Turturro, Kevin Nealon"
229,Cops,https://www.tvmaze.com/shows/240/cops,Reality,English,"['Action', 'Crime']",Ended,30,3/11/1989,http://www.cops.com,22:30,['Monday'],Paramount Network,United States,US,America/New_York,"COPS follows police officers, constables, and sheriff's deputies during patrols and various police activities by embedding camera crews with their units. The show's formula adheres to a classic cinéma vérité ethos. With no narration or scripted dialog, it depends entirely on the commentary of the officers and on the actions of the people with whom they come into contact.",http://static.tvmaze.com/uploads/images/original_untouched/1/4185.jpg,//static.tvmaze.com/uploads/images/medium_portrait/1/4185.jpg,NA,8,21,NA,NA,NA
